id,mel_nor_mrna,mel_nor_rpf,mel_lte,mel_lte_SE,sim_nor_mrna,sim_nor_rpf,sim_lte,sim_lte_SE,log2Beta,SE_log2Beta,p_log2Beta,adj_P_log2Beta
FBtr0088675_10,0.820412654142368,7.31339280264053,3.15601923677401,1.76348394662168,1.33234881604155,4.50332520114829,1.75697701167651,1.9664834431383,-1.3990422250975,2.64138841561203,0.596346521233908,0.762591918402998
FBtr0088676,3010.91444070249,393.704312542149,-2.93499624908146,0.153895168184184,1425.61323316446,328.742739683825,-2.1165340960362,0.137332030312857,0.818462153045259,0.206261507170605,7.24540257117169e-05,0.000398195459142222
FBtr0088678,22.9715543159863,2.43779760088018,-3.23613355639953,1.07150635358307,10.6587905283324,0.750554200191382,-3.82785029286949,1.66938708281718,-0.591716736469957,1.98367817401053,0.765479768459837,0.879474398131101
FBtr0088678_3,36.0981567822642,0,-7.33082459603831,1.57496264910943,30.6440227689557,0,-7.79406234955919,1.73020357801789,-0.463237753520879,2.33968197998696,0.843051510529884,0.923705926624435
FBtr0088679,8583.97760029159,3944.35651822413,-1.12184295200135,0.128676681324843,4207.55756105922,1134.83795068937,-1.89047887216569,0.113324580984331,-0.76863592016434,0.17146471640559,7.36822765866393e-06,4.84053744859303e-05
FBtr0088679_31,46.763521286115,2.43779760088018,-4.26167573898801,0.957693596885823,14.6558369764571,0.750554200191382,-4.28728811899696,1.58629182338372,-0.0256123800089538,1.85297025730316,0.988971721601399,0.995015219064474
FBtr0088683,18159.0136867872,23502.8066700858,0.372157995292685,0.184047884289568,12466.7878717008,10928.0691547865,-0.190038253045219,0.150574685629642,-0.562196248337904,0.237794784770254,0.018068682092039,0.0526568271675816
FBtr0088684,1269.17837595824,1485.83763773647,0.227389900242679,0.099992941600293,750.112383431393,646.977720564971,-0.213380911209942,0.135423022257421,-0.440770811452621,0.168338894279407,0.00883551008432794,0.028724475415778
FBtr0088684_55,25.4327922784134,0,-6.82557405376948,1.63503163426456,23.9822786887479,0,-7.44041839993925,1.76403434334634,-0.614844346169774,2.40523296367549,0.798238270955888,0.899724062157729
FBtr0088685,1649.02943482616,592.384817013883,-1.47699741591922,0.107332182930159,1320.35767669718,251.435657064113,-2.39264865043984,0.152766479416814,-0.915651234520619,0.18670242292472,9.3744364728124e-07,7.25717005341523e-06
FBtr0088688,929.527537143303,1510.21561374527,0.700192397324296,0.121734973056673,1004.59100729533,1480.09288277741,0.559088095726946,0.115666078527182,-0.14110430159735,0.167922736360997,0.400744119615588,0.591657696461752
